"pid"	"firstname"	"middlename"	"lastname"	"degrees"	"location"	"locid"	"area"	"majorarea"	"award"	"orcid_id"	"homepage"	"addedby"	"dateadded"
"35"	"Larry"	""	"Weiskrantz"	\N	"University of Oxford"	"228"	"neuropsychology"	"neuro,psych"	\N	\N	""	"hayden"	"2005-01-15 19:34:03"
"36"	"Hans-Lukas"	""	"Teuber"	\N	"Massachusetts Institute of Technology"	"172"	"neuropsychology, double dissociation of function"	"neuro,psych"	\N	\N	""	"hayden"	"2005-01-15 19:34:56"
"37"	"Robert"	"H"	"Wurtz"	\N	"National Eye Institute"	"196"	"Oculomotor system"	"neuro"	\N	\N	"http://www.nei.nih.gov/intramural/lsr/wurtz/wurtz.asp"	"hayden"	"2005-01-15 19:38:44"
"38"	"Michael"	"E"	"Goldberg"	\N	"Columbia University"	"54"	"vision, eye movements, attention, spatial perception"	"neuro"	\N	\N	"http://mahoney.cpmc.columbia.edu/goldberglab"	"hayden"	"2005-01-15 19:40:53"
"39"	"Carl"	"R"	"Olson"	""	"Carnegie Mellon University"	"38"	""	"neuro"	""	""	"http://www.pitt.edu/~neurosci/olson.html"	"hayden"	"2005-01-15 19:42:21"
"41"	"David"	"L"	"Sparks"	\N	"Baylor College of Medicine"	"20"	"Oculomotor system"	"neuro,bcm"	\N	\N	""	"hayden"	"2005-01-15 19:44:57"
"42"	"C"	"W"	"Mohler"	\N	""	"1"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-15 19:46:07"
"43"	"Ralph"	"D"	"Freeman"	\N	"University of California, Berkeley"	"312"	"Visual system"	"neuro"	\N	\N	"http://neurovision.berkeley.edu/"	"david"	"2005-01-15 19:47:20"
"44"	"Michael"	"N"	"Shadlen"	""	"Columbia University"	"54"	"Decision & reward"	"neuro"	""	\N	"http://www.shadlen.org"	"hayden"	"2005-01-15 19:47:27"
"45"	"Leslie"	""	"Ungerleider"	\N	"National Institute of Mental Health"	"214"	"Vision, cognition"	"neuro"	\N	\N	"http://lbc.nimh.nih.gov/people/ungerleider/ungerlei.html?ID=2850"	"david"	"2005-01-15 19:50:12"
"46"	"Greg"	""	"DeAngelis"	\N	"University of Rochester"	"432"	"MT, stereopsis"	"neuro"	\N	\N	"http://www.bcs.rochester.edu/people/gdeangelis/index.html"	"hayden"	"2005-01-15 19:50:20"
"47"	"Bruce"	"L."	"McNaughton"	""	"University of California, Irvine"	"314"	"Learning & memory,Aging"	"neuro"	""	\N	"http://www.faculty.uci.edu/profile.cfm?faculty_id=6051"	"hayden"	"2005-01-15 19:51:53"
"48"	"Jim"	""	"Knierim"	""	"Johns Hopkins University"	"117"	"Hippocampus"	"neuro"	""	\N	"http://krieger.jhu.edu/mbi/research/knierim/index.html"	"hayden"	"2005-01-15 19:52:44"
"49"	"Matt"	"A."	"Wilson"	\N	"Massachusetts Institute of Technology"	"172"	"Hippocampus"	"neuro"	\N	\N	"http://web.mit.edu/wilsonlab/"	"hayden"	"2005-01-15 19:54:04"
"50"	"Kenway"	""	"Louie"	\N	"New York University"	"221"	"decision making"	"neuro"	\N	\N	""	"hayden"	"2005-01-15 19:54:58"
"51"	"Paul"	"W"	"Glimcher"	""	"New York University"	"221"	"Decision-making"	"neuro,econ"	""	""	"http://www.cns.nyu.edu/~glimcher/"	"hayden"	"2005-01-15 19:57:21"
"52"	"David"	"J"	"Tolhurst"	\N	"University of Cambridge"	"370"	""	"neuro"	\N	\N	"http://www.physiol.cam.ac.uk/staff/tolhurst/"	"hayden"	"2005-01-15 19:59:37"
"53"	"Peter"	"H."	"Schiller"	""	"Massachusetts Institute of Technology"	"172"	"Visual system"	"neuro"	""	\N	"http://bcs.mit.edu/people/schiller.html"	"hayden"	"2005-01-15 20:01:28"
"55"	"Julio"	""	"Martinez-Trujillo"	\N	"McGill University"	"160"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-15 20:07:01"
"56"	"J"	"Douglas"	"Crawford"	\N	"York University"	"509"	"vision, oculomotor, motor control"	"neuro"	\N	\N	"http://www.yorku.ca/jdc/"	"hayden"	"2005-01-15 20:08:16"
"57"	"John"	"H"	"Reynolds"	""	"Salk Institute for Biological Studies"	"258"	"visual system, attention, neurophysiology, modeling"	"neuro"	""	""	"http://www.salk.edu/faculty/reynolds.html"	"hayden"	"2005-01-15 20:10:10"
"58"	"Steven"	"J"	"Luck"	""	"University of California, Davis"	"313"	"Psychophysics, ERP, attention, working memory, schizophrenia"	"neuro,psych"	""	""	"http://mindbrain.ucdavis.edu/people/sjluck"	"hayden"	"2005-01-15 20:11:15"
"59"	"Steven"	""	"Hillyard"	\N	"University of California, San Diego"	"317"	"Psychophysics, ERP"	"neuro,psych"	\N	\N	"http://medicine.ucsd.edu/neurosci/the-faculty/hillyard.html"	"hayden"	"2005-01-15 20:12:35"
"60"	"Kate"	"A"	"Gustavsen"	""	"University of California, Berkeley"	"312"	"Attention"	"neuro"	""	""	""	"hayden"	"2005-01-15 20:14:04"
"61"	"Mortimer"	""	"Mishkin"	\N	"National Institute of Mental Health"	"214"	"Systems"	"neuro"	\N	\N	"http://neuroscience.nih.gov/Lab.asp?Org_ID=187"	"hayden"	"2005-01-15 20:15:43"
"62"	"Vernon"	""	"Mountcastle"	""	"Johns Hopkins University"	"117"	"Somatosensory system"	"neuro,physiology"	""	\N	""	"hayden"	"2005-01-15 20:17:06"
"63"	"Ranulfo"	""	"Romo"	\N	"National Autonomous University"	"190"	"Somatosensation"	"neuro"	\N	\N	"http://www.hhmi.org/research/scholars/romo.html"	"hayden"	"2005-01-15 20:18:16"
"64"	"Torsten"	""	"Wiesel"	""	"Rockefeller University"	"253"	"Visual system"	"neuro"	"nobel"	\N	"http://nobelprize.org/nobel_prizes/medicine/laureates/1981/wiesel-autobio.html"	"hayden"	"2005-01-15 20:20:58"
"65"	"Stephen"	""	"Kuffler"	""	"Harvard University"	"86"	"Visual system"	"neuro,physiology"	""	\N	"http://www.nap.edu/books/0309060869/html/192.html"	"hayden"	"2005-01-15 20:21:33"
"66"	"Gregory"	""	"Stanton"	\N	""	"1"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-15 20:22:41"
"67"	"Jeffrey"	""	"Schall"	\N	"Vanderbilt University"	"487"	"Decision-making"	"neuro"	\N	\N	"http://www.psy.vanderbilt.edu/faculty/schall/"	"hayden"	"2005-01-15 20:24:46"
"68"	"Andrew"	"F"	"Rossi"	""	"Vanderbilt University"	"487"	""	"neuro"	""	""	"http://sitemason.vanderbilt.edu/site/i8v2E0"	"hayden"	"2005-01-15 20:26:07"
"69"	"Wendy"	""	"Suzuki"	\N	"New York University"	"221"	"Hippocampus"	"neuro"	\N	\N	"http://www.cns.nyu.edu/corefaculty/Suzuki.php"	"hayden"	"2005-01-15 20:27:00"
"70"	"Edmund"	""	"Rolls"	\N	"University of Oxford"	"228"	"Systems"	"neuro"	\N	\N	""	"hayden"	"2005-01-15 20:28:48"
"71"	"Alan"	""	"Cowey"	\N	"University of Oxford"	"228"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-15 20:29:39"
"73"	"Dave"	""	"Perrett"	\N	"University of Saint Andrews"	"434"	""	"neuro"	\N	\N	"http://perception.st-and.ac.uk/"	"hayden"	"2005-01-15 20:32:42"
"74"	"Gregory"	"D"	"Horwitz"	\N	"University of Washington, Seattle"	"464"	"Visual Cortex"	"neuro"	\N	\N	""	"david"	"2005-01-15 20:33:54"
"75"	"Tirin"	""	"Moore"	\N	"Stanford University"	"277"	""	"neuro"	\N	\N	"http://www.stanford.edu/dept/nbio/moore.html"	"hayden"	"2005-01-15 20:35:05"
"77"	"Zachary"	"F"	"Mainen"	""	"Champalimaud Neuroscience Programme"	"7915"	"Olfaction"	"neuro"	""	\N	"http://neuro.fchampalimaud.org/en/research/investigators/research-groups/group/Mainen/"	"david"	"2005-01-15 20:38:45"
"78"	"Brad"	""	"Motter"	\N	"State University of New York, Upstate Medical University"	"289"	"visual system,attention"	"neuro"	\N	\N	"http://www.upstate.edu/neurophys/faculty-res-abc.php?EmpID=IUIUAFMW"	"hayden"	"2005-01-15 20:42:46"
"81"	"Jim"	""	"Muller"	\N	"Stanford University"	"277"	"Visual Cortex"	"neuro"	\N	\N	"http://monkeybiz.stanford.edu:16080/~jim/"	"david"	"2005-01-15 20:48:54"
"82"	"Jon"	""	"Wallis"	\N	"University of California, Berkeley"	"312"	"PFC"	"neuro"	\N	\N	""	"hayden"	"2005-01-15 20:50:13"
"83"	"Peter"	""	"Lennie"	\N	"New York University"	"221"	"Visual Cortex"	"neuro"	\N	\N	"http://www.cns.nyu.edu/corefaculty/Lennie.php"	"david"	"2005-01-15 20:52:49"
"85"	"Wolf"	""	"Singer"	""	"Max Planck Institute Frankfurt"	"153"	""	"neuro"	""	\N	"http://brain.mpg.de/research/singer-department/director.html"	"hayden"	"2005-01-15 20:55:23"
"86"	"Charles"	"Marshall"	"Gray"	\N	"Montana State University"	"177"	"Visual System, Cortical Physiology"	"neuro"	\N	\N	"http://www.montana.edu/cbn/Gray2.htm"	"hayden"	"2005-01-15 20:56:56"
"87"	"David"	"J"	"Field"	\N	"Cornell University"	"56"	"Computation & Theory"	"neuro"	\N	\N	"http://redwood.psych.cornell.edu/people/david.html"	"david"	"2005-01-15 21:00:56"
"88"	"Bruno"	"A"	"Olshausen"	""	"University of California, Berkeley"	"312"	"Computation & Theory"	"neuro"	""	""	"http://redwood.ucdavis.edu/bruno/"	"david"	"2005-01-15 21:02:23"
"89"	"Allison"	""	"Doupe"	\N	"University of California, San Francisco"	"318"	"Birdsong"	"neuro"	\N	\N	""	"david"	"2005-01-15 21:04:23"
"90"	"Mark"	""	"Konishi"	""	"California Institute of Technology"	"33"	"Auditory system"	"neuro,csd"	""	\N	"http://bbe.caltech.edu/content/masakazu-mark-konishi"	"david"	"2005-01-15 21:05:12"
"91"	"Michael"	"S"	"Lewicki"	\N	"Case Western Reserve University"	"40"	"Computation & Theory"	"neuro"	\N	\N	"http://www.cnbc.cmu.edu/cplab/"	"david"	"2005-01-15 21:07:27"
"92"	"Izumi"	""	"Ohzawa"	\N	"Osaka University"	"227"	"Early Vision"	"neuro"	\N	\N	"http://ohzawa-lab.bpe.es.osaka-u.ac.jp/index-e.html"	"hayden"	"2005-01-15 21:13:57"
"95"	"Christoph"	"E"	"Schreiner"	\N	"University of California, San Francisco"	"318"	"Auditory system"	"neuro,csd"	\N	\N	"http://www.ucsf.edu/neurosc/faculty/neuro_schreinerC.htm"	"hayden"	"2005-01-15 21:23:32"
"96"	"Robert"	""	"Froemke"	\N	"New York University"	"221"	""	"neuro"	\N	\N	"http://saturn.med.nyu.edu/research/mn/froemkelab"	"hayden"	"2005-01-15 21:24:01"
"97"	"J"	"Anthony"	"Movshon"	""	"New York University"	"221"	"Vision"	"neuro"	\N	\N	"http://www.cns.nyu.edu/corefaculty/Movshon.php"	"hayden"	"2005-01-15 21:26:06"
"99"	"Wyeth"	""	"Bair"	""	"University of Washington, Seattle"	"464"	"visual system, computation"	"neuro"	""	\N	""	"hayden"	"2005-01-15 21:27:25"
"100"	"Christof"	""	"Koch"	""	"California Institute of Technology"	"33"	"Computation"	"neuro"	""	""	"http://www.klab.caltech.edu"	"hayden"	"2005-01-15 21:29:46"
"102"	"Tomaso"	"A"	"Poggio"	\N	"Massachusetts Institute of Technology"	"172"	"Computation"	"neuro,math"	\N	\N	"http://cbcl.mit.edu/people/poggio/poggio-new.htm"	"hayden"	"2005-01-15 21:30:42"
"103"	"Judith"	"A"	"Hirsch"	\N	"University of Southern California"	"437"	""	"neuro"	\N	\N	"http://jah.usc.edu/"	"david"	"2005-01-15 21:35:14"
"104"	"Charles"	"D"	"Gilbert"	\N	"Rockefeller University"	"253"	"Visual Cortex"	"neuro"	\N	\N	"http://www.rockefeller.edu/labheads/gilbert/gilbert-lab.html"	"david"	"2005-01-15 21:37:18"
"105"	"Michael"	"C.-K."	"Wu"	""	"Lithium Technologies, Emeryville, CA"	"13141"	"Computation & Theory"	"neuro"	""	\N	""	"david"	"2005-01-15 21:43:31"
"106"	"Jonathan"	""	"Touryan"	\N	"Yale University"	"507"	"Visual Cortex"	"neuro"	\N	\N	"http://jacknife.med.yale.edu/~touryan/"	"david"	"2005-01-15 21:47:06"
"107"	"Apostolos"	"P"	"Georgopoulos"	""	"University of Minnesota"	"406"	"motor system"	"neuro"	""	""	"http://www.neurosci.umn.edu/faculty/georgopoulos.html"	"hayden"	"2005-01-16 01:15:25"
"108"	"Thomas"	""	"Naselaris"	""	"Medical University of South Carolina"	"1033"	""	"neuro"	""	\N	""	"hayden"	"2005-01-16 01:16:34"
"109"	"Andrew"	""	"Schwartz"	""	"University of Pittsburgh"	"428"	""	"neuro"	""	""	"http://www.neurobio.pitt.edu/faculty/schwartz.htm"	"hayden"	"2005-01-16 01:19:45"
"110"	"Wilder"	""	"Penfield"	\N	"McGill University"	"160"	"neurosurgery, stimulation"	"neuro"	\N	\N	""	"hayden"	"2005-01-16 01:24:19"
"111"	"Donald"	"Olding"	"Hebb"	""	"McGill University"	"160"	"learning & memory, systems"	"neuro"	\N	\N	""	"hayden"	"2005-01-16 01:24:27"
"112"	"David"	""	"Hubel"	""	"Harvard University"	"86"	"Vision"	"neuro"	"nobel"	\N	"http://nobelprize.org/medicine/laureates/1981/hubel-autobio.html"	"hayden"	"2005-01-16 01:25:05"
"113"	"Margaret"	""	"Livingstone"	\N	"Harvard University"	"86"	"Vision"	"neuro"	\N	\N	"http://neuro.med.harvard.edu/faculty/livingstone.html"	"hayden"	"2005-01-16 01:28:56"
"114"	"Sir John"	"Carew"	"Eccles"	"D.Phil."	"Australian National University"	"2128"	"Synapses"	"neuro,physiology"	"Nobel"	\N	"http://www.nobelprize.org/nobel_prizes/medicine/laureates/1963/eccles-bio.html"	"hayden"	"2005-01-16 01:37:01"
"115"	"Sir Charles"	"Scott"	"Sherrington"	"M.R.C.S, M.B., L.R.C.P."	"University of Oxford"	"228"	"Neurophysiology, spinal reflexes"	"neuro,physiology"	"Nobel"	""	"http://www.nobelprize.org/nobel_prizes/medicine/laureates/1932/sherrington-bio.html"	"hayden"	"2005-01-16 01:39:54"
"116"	"Edgar"	"Douglas"	"Adrian"	""	"University of Cambridge"	"370"	""	"neuro,physiology"	"nobel"	\N	"http://nobelprize.org/medicine/laureates/1932/adrian-bio.html"	"hayden"	"2005-01-16 01:42:46"
"117"	"Keith"	""	"Lucas"	\N	"University of Cambridge"	"370"	""	"neuro,physiology"	\N	\N	""	"hayden"	"2005-01-16 01:43:22"
"118"	"Roger"	"W"	"Sperry"	""	"California Institute of Technology"	"33"	"Cerebral lateralization"	"neuro"	"nobel"	\N	"http://nobelprize.org/medicine/laureates/1981/sperry-autobio.html"	"hayden"	"2005-01-16 10:52:00"
"119"	"Karl"	"Spencer"	"Lashley"	""	"Harvard University"	"86"	"Learning and memory"	"neuro"	""	\N	"http://www.nasonline.org/publications/biographical-memoirs/memoir-pdfs/lashley-karl.pdf"	"hayden"	"2005-01-16 10:53:08"
"120"	"John"	"B"	"Watson"	\N	"Johns Hopkins University"	"117"	"Behaviorism"	"neuro,psych"	\N	\N	"http://alpha.furman.edu/academics/dept/psychology/watson/watson1.htm"	"hayden"	"2005-01-16 10:56:26"
"121"	"Robert"	"Mearns"	"Yerkes"	\N	"Yale University"	"507"	"Primatology"	"neuro,psych,primate"	\N	\N	"http://psychclassics.asu.edu/Yerkes/murchison.htm"	"hayden"	"2005-01-16 10:57:10"
"122"	"James"	"Rowland"	"Angell"	\N	"University of Chicago"	"3797"	""	"neuro"	\N	\N	"http://en.wikipedia.org/wiki/James_Rowland_Angell"	"hayden"	"2005-01-16 11:10:41"
"123"	"Garrett"	"B"	"Stanley"	\N	"Georgia Institute of Technology"	"995"	"systems"	"neuro"	\N	\N	"http://www.stanley.bme.gatech.edu/"	"hayden"	"2005-01-16 11:44:16"
"125"	"William"	""	"James"	\N	"Harvard University"	"86"	"Psychology"	"neuro,psych,hypnosis"	\N	\N	""	"hayden"	"2005-01-16 12:00:57"
"126"	"Louis"	""	"Agassiz"	""	"Harvard University"	"86"	""	"neuro,mareco"	""	""	"http://www.nasonline.org/publications/biographical-memoirs/memoir-pdfs/agassiz-louis.pdf"	"hayden"	"2005-01-16 12:09:44"
"127"	"Michael"	""	"Gazzaniga"	""	"University of California, Santa Barbara"	"659"	"neuropsychology"	"neuro"	""	""	"http://www.psych.ucsb.edu/people/faculty/gazzaniga/index.php"	"hayden"	"2005-01-16 12:15:18"
"128"	"Elisabeth"	"A"	"Murray"	\N	"National Institute of Mental Health"	"214"	"Memory"	"neuro"	\N	\N	"http://neuroscience.nih.gov/Lab.asp?Org_ID=188"	"hayden"	"2005-01-16 12:30:02"
"129"	"Karl"	"H"	"Pribram"	""	"Stanford University"	"277"	"Psychology, frontal lobe"	"neuro,psych"	""	""	"http://www.karlpribram.com/biography/"	"hayden"	"2005-01-16 12:34:19"
"130"	"Paul"	""	"Bucy"	\N	"University of Chicago"	"3797"	"Neurosurgery"	"neuro"	\N	\N	""	"hayden"	"2005-01-16 12:46:17"
"131"	"Heinrich"	""	"Klüver"	""	"University of Chicago"	"3797"	""	"neuro"	""	\N	"http://www.nap.edu/openbook.php?record_id=9650&page=288"	"hayden"	"2005-01-16 12:50:33"
"132"	"Charles"	""	"Anderson"	\N	"Washington University, Saint Louis"	"497"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-16 13:04:44"
"133"	"Wolfgang"	""	"Fries"	\N	""	"1"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-16 13:10:58"
"134"	"Otto"	"D"	"Creutzfeldt"	""	"Kraepelin Institute (Munich)"	"129"	"visual system"	"neuro"	""	\N	"http://essenciale.ru"	"hayden"	"2005-01-16 13:13:22"
"135"	"Bert"	""	"Sakmann"	""	"Max Planck Institute for Medical Research"	"159"	"ion channel physiology"	"neuro,physiology"	"nobel"	\N	"http://www.nobelprize.org/nobel_prizes/medicine/laureates/1991/sakmann-bio.html"	"hayden"	"2005-01-16 13:15:14"
"136"	"Sabine"	""	"Kastner"	\N	"Princeton University"	"238"	""	"neuro"	\N	\N	"http://www.princeton.edu/~napl/"	"hayden"	"2005-01-16 13:20:17"
"137"	"Hans-Christoph"	""	"Nothdurft"	\N	"Max Planck Institute"	"150"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-16 13:22:11"
"138"	"Nikos"	"K"	"Logothetis"	\N	"Max Planck Institute Tuebingen"	"156"	"visual system"	"neuro"	\N	\N	"http://www.kyb.mpg.de/~nikos"	"hayden"	"2005-01-16 17:24:15"
"139"	"John"	"M"	"Allman"	\N	"California Institute of Technology"	"33"	""	"neuro"	\N	\N	"http://www.allmanlab.caltech.edu/"	"hayden"	"2005-01-16 20:45:06"
"140"	"Kenneth"	"O"	"Johnson"	""	"Johns Hopkins University"	"117"	"Somatosensory system"	"neuro"	""	""	"http://pages.jh.edu/~gazette/2005/16may05/16obit.html"	"hayden"	"2005-01-16 20:52:14"
"142"	"Russell"	"L"	"De Valois"	\N	"University of California, Berkeley"	"312"	"Vision"	"neuro"	\N	\N	""	"hayden"	"2005-01-17 00:49:54"
"143"	"James"	""	"Olds"	\N	"California Institute of Technology"	"33"	"Brain self-stimulation"	"neuro"	\N	\N	""	"hayden"	"2005-01-17 00:53:01"
"144"	"Richard"	"Lester"	"Solomon"	\N	"University of Pennsylvania"	"426"	"Psychology"	"neuro,psych"	\N	\N	""	"hayden"	"2005-01-17 00:56:11"
"145"	"Harold"	""	"Schlosberg"	\N	"Brown University"	"30"	""	"neuro,psych"	\N	\N	""	"hayden"	"2005-01-17 01:09:56"
"147"	"Wilhelm"	""	"Wundt"	""	"University of Leipzig"	"393"	"Experimental psychology, social psychology"	"neuro,psych"	""	\N	"http://www.zv.uni-leipzig.de/service/presse/nachrichten.html?ifab_modus=detail&ifab_uid=2122c699d520140426195022&ifab_id=2805"	"hayden"	"2005-01-17 01:18:44"
"148"	"James"	"McKeen"	"Cattell"	""	"University of Pennsylvania"	"426"	""	"neuro,psych"	""	\N	""	"hayden"	"2005-01-17 01:21:38"
"149"	"Walter"	"F"	"Dearborn"	\N	"Harvard University"	"86"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-17 01:22:15"
"150"	"Leonard"	""	"Carmichael"	\N	"University of Rochester"	"432"	"Neuroethology, child psychology"	"neuro,psych"	\N	\N	""	"hayden"	"2005-01-17 01:22:48"
"151"	"Johannes"	"Peter"	"Müller"	""	"Friedrich-Wilhelms-Universität zu Berlin"	"358"	"Physiology"	"neuro,physiology"	""	\N	"https://www.hu-berlin.de/ueberblick/geschichte/rektoren/mueller"	"hayden"	"2005-01-17 01:24:46"
"152"	"Karl"	"Asmund"	"Rudolphi"	""	"Friedrich-Wilhelms-Universität zu Berlin"	"358"	"Anatomy"	"neuro"	""	\N	"https://www.hu-berlin.de/ueberblick/geschichte/rektoren/rudolphi"	"hayden"	"2005-01-17 01:26:09"
"153"	"Peter"	"Simon"	"Pallas"	\N	""	"1"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-17 01:26:55"
"154"	"Harvey"	"A"	"Carr"	\N	"University of Chicago"	"3797"	""	"neuro,psych"	\N	\N	""	"hayden"	"2005-01-17 10:18:03"
"155"	"John"	"A"	"McGeoch"	\N	"Iowa State University"	"3498"	"Learning & Memory"	"neuro"	\N	\N	""	"hayden"	"2005-01-17 10:19:53"
"156"	"Arthur"	""	"Melton"	\N	"University of Michigan, Ann Arbor"	"405"	"Memory"	"neuro,psych,mich"	\N	\N	"http://books.nap.edu/openbook.php?record_id=2037&page=315"	"hayden"	"2005-01-17 10:20:32"
"157"	"Donald"	"A"	"Riley"	\N	"University of California, Berkeley"	"312"	"Memory"	"neuro"	\N	\N	""	"hayden"	"2005-01-17 10:22:06"
"158"	"John"	"F"	"Dashiell"	\N	"University of North Carolina, Chapel Hill"	"416"	""	"neuro,psych"	\N	\N	""	"hayden"	"2005-01-17 10:34:04"
"159"	"Francis"	""	"Galton"	\N	"University of Cambridge"	"370"	"Human behavioral genetics"	"neuro"	\N	\N	"http://en.wikipedia.org/wiki/Francis_Galton"	"hayden"	"2005-01-17 10:41:26"
